Leybold GmbH
S/N = 000518
sw-version = 1.11.00
samplingtime[s] = 10
unit = mbar
Setpoints;Channel;SP-On;SP-Off
1;Off;na;na
2;Off;na;na
3;Off;na;na
4;Off;na;na
5;Off;na;na
6;Off;na;na
Leak test parameter
unit = mbar*l/s
Interval[min] = 1 
Volume[l] = 1.00
Channel = 1

date time;ch1 =  ;ch2 =  ;leak rate
;DU200;NOSEN
2021-05-11 13:55:25;0.5;....;n.a.
2021-05-11 13:55:35;0.5;....;n.a.
2021-05-11 13:55:45;0.5;....;n.a.
2021-05-11 13:55:55;0.4;....;n.a.
2021-05-11 13:56:05;0.5;....;n.a.
2021-05-11 13:56:15;0.4;....;n.a.
2021-05-11 13:56:25;0.5;....;n.a.
2021-05-11 13:56:35;0.5;....;n.a.
2021-05-11 13:56:45;0.4;....;n.a.
2021-05-11 13:56:55;0.4;....;n.a.
2021-05-11 13:57:05;0.4;....;n.a.
2021-05-11 13:57:15;0.5;....;n.a.
2021-05-11 13:57:25;0.5;....;n.a.
2021-05-11 13:57:35;0.5;....;n.a.
2021-05-11 13:57:45;0.5;....;n.a.
2021-05-11 13:57:55;0.4;....;n.a.
2021-05-11 13:58:05;0.4;....;n.a.
2021-05-11 13:58:15;0.5;....;n.a.
2021-05-11 13:58:25;0.5;....;n.a.
2021-05-11 13:58:35;0.4;....;n.a.
2021-05-11 13:58:45;0.4;....;n.a.
2021-05-11 13:58:55;0.4;....;n.a.
2021-05-11 13:59:05;0.4;....;n.a.
2021-05-11 13:59:15;0.4;....;n.a.
2021-05-11 13:59:25;0.5;....;n.a.
2021-05-11 13:59:35;0.5;....;n.a.
2021-05-11 13:59:45;0.4;....;n.a.
2021-05-11 13:59:55;0.5;....;n.a.
2021-05-11 14:00:05;0.4;....;n.a.
2021-05-11 14:00:15;0.5;....;n.a.
2021-05-11 14:00:25;0.4;....;n.a.
2021-05-11 14:00:35;0.4;....;n.a.
2021-05-11 14:00:45;0.4;....;n.a.
2021-05-11 14:00:55;0.4;....;n.a.
